,ll_train,ll_test,re
2,-152.67451207157179738,-153.93199618469301981,0.8248822874014159
12,-146.38799796820495658,-147.41351244845731117,0.6574340525835298
22,-144.90863478691895239,-145.8844560771576937,0.6035324389694984
32,-144.74166977731181305,-145.68559769323917408,0.5566448798552771
42,-143.82352964629188818,-144.73961579341749939,0.5178251968186712
52,-143.07448887674505045,-143.96652293237082176,0.4813559073901771
62,-143.14772130600897526,-144.02005998668735742,0.45646000981741297
72,-142.9321644528097579,-143.77958066511999391,0.4375341704464834
82,-142.69385212424734277,-143.51722826063263483,0.41471565106571
92,-142.84884604867036728,-143.66135223173037616,0.3979337364893836
